x,y,z
0.65210325,0.19363494,0.80137837
0.43141845,0.3157128,0.7204998
0.8965466,0.62310404,0.3771967
0.36756188,0.055766918,0.7510646
0.43586493,0.93365353,0.9028869
0.89192337,0.6026808,0.56154877
0.806194,0.90921664,0.4527719
0.7038886,0.46292052,0.43071106
0.10022689,0.38887832,0.809076
0.9194826,0.82584465,0.82705617
0.7142413,0.6763752,0.40059862
0.998847,0.40756625,0.85231674
0.1494483,0.583831,0.42912194
0.86812603,0.15887268,0.35613728
0.16249293,0.27947864,0.46808866
0.6155596,0.26511058,0.36325604
0.123819984,0.16683692,0.68689543
0.8480082,0.393187,0.3009864
0.807319,0.513964,0.020455394
0.56910074,0.25053728,0.46200103
0.4071833,0.5919851,0.43330806
0.069166996,0.7304408,0.6434952
0.69742876,0.65306985,0.64763445
0.45354268,0.010410947,0.19973885
0.7220556,0.9624381,0.20865324
0.8663823,0.57446927,0.87632906
0.9755215,0.8972181,0.010225159
0.8558034,0.486552,0.7785429
0.011714084,0.52739304,0.18025745
0.35997805,0.9450778,0.9946603
0.72999054,0.87645656,0.32646215
0.17162968,0.03055841,0.28807887
0.5210366,0.3117216,0.8227523
0.05433799,0.98178697,0.2695264
0.19999653,0.2978467,0.46112013
0.018521795,0.17514502,0.48660502
0.7936977,0.7658444,0.6419989
0.22392468,0.14449131,0.3641001
0.34535167,0.8009815,0.745146
0.9280813,0.31079295,0.50467354
0.7044144,0.54614735,0.42982894
0.03183893,0.4950048,0.39594248
0.16469416,0.53060716,0.38496643
0.6214784,0.88428116,0.061561573
0.5772286,0.619442,0.48271635
0.23789282,0.56428206,0.22359349
0.934214,0.3399718,0.6660123
0.6139659,0.95049626,0.39862663
0.5356328,0.86497575,0.48508832
0.58991,0.95089316,0.13039967
0.730122,0.81231934,0.36127558
0.311945,0.048984125,0.009440343
0.39822108,0.768972,0.34946188
0.20984375,0.27427205,0.8225396
0.186193,0.5578302,0.9692691
0.9443724,0.17009532,0.010949511
0.73955077,0.102481395,0.5385051
0.49045882,0.89926136,0.39974415
0.22741462,0.90758455,0.19058046
0.25435647,0.8575996,0.3418742
0.05802916,0.82181925,0.7225366
0.43441662,0.26190376,0.3857883
0.3117959,0.28237003,0.42892954
0.6963435,0.108159594,0.05107251
0.37775183,0.98161966,0.078343526
0.17960368,0.27059442,0.2602975
0.024678728,0.06259313,0.28484854
0.06724963,0.4229849,0.30952513
0.67939276,0.37429798,0.84529364
0.45369685,0.050960936,0.47300023
0.5365792,0.30885836,0.6734434
0.8966713,0.9786746,0.97426546
0.9903389,0.5381711,0.74810547
0.21689698,0.8614012,0.40458697
0.6630782,0.6718654,0.56552863
0.26332238,0.4985293,0.77853113
0.020651,0.069378994,0.59608525
0.7583786,0.025932113,0.95302343
0.32001716,0.69465566,0.9919723
0.3834639,0.6429312,0.60159576
0.5883171,0.97976804,0.064236104
0.8310484,0.062852025,0.37453297
0.6289818,0.33949825,0.25024828
0.8726507,0.32998815,0.2588203
0.27354205,0.19283876,0.4522268
0.7980468,0.06834565,0.67875713
0.18563594,0.7014547,0.78879565
0.95279163,0.3096094,0.5094172
0.68748826,0.92704624,0.9333749
0.21550767,0.7794813,0.73995996
0.9473706,0.13826844,0.901115
0.7308558,0.6454337,0.8271616
0.25394166,0.95655483,0.35203055
0.21331197,0.22672828,0.06312979
0.5182007,0.65748197,0.7799011
0.025662718,0.15166025,0.96199405
0.20747007,0.14092639,0.9619893
0.42468548,0.80450165,0.12937486
0.37416998,0.43582016,0.7918693
0.46357542,0.4617171,0.33349982
0.27762872,0.03729052,0.8020327
0.58678436,0.37718758,0.35297832
0.8638556,0.68763095,0.29207462
0.11753186,0.062122934,0.20857094
0.5173791,0.58756447,0.7155801
0.13206811,0.966838,0.14589939
0.7168597,0.7418507,0.20059495
0.3960597,0.08723353,0.22864473
0.5654213,0.75968564,0.05023482
0.18327984,0.75537795,0.6882277
0.14484777,0.43339083,0.9396762
0.48805627,0.20877261,0.20761906
0.35561273,0.27923757,0.76315814
0.94043195,0.73362386,0.60735947
0.76532525,0.37419838,0.47672725
0.7486636,0.5223922,0.69418454
0.9037197,0.88476336,0.68045294
0.08342244,0.37624052,0.4489416
0.55219245,0.62735564,0.15705036
0.58447605,0.5050255,0.93219775
0.96193635,0.11038948,0.9386807
0.29214752,0.08399383,0.7240131
0.24082878,0.20147169,0.8626244
0.10029394,0.13166776,0.22871059
0.01642963,0.36918968,0.65335345
0.9295293,0.20734017,0.021715498
0.66991657,0.72993976,0.6422903
0.7851529,0.20905574,0.53607273
0.28173012,0.89588994,0.90874803
0.58641016,0.50932133,0.03743828
0.06395527,0.31749636,0.11228415
0.4856276,0.47561666,0.20069972
0.97749513,0.2731493,0.67459476
0.87650526,0.41848058,0.12223897
0.33815897,0.24942768,0.29160255
0.96157014,0.90526575,0.68958896
0.23170163,0.0039865915,0.2838291
0.9493188,0.48655495,0.665849
0.9413777,0.56197256,0.1359331
0.79920256,0.53989774,0.03582511
0.6304479,0.03046911,0.3519674
0.87428796,0.60347354,0.9182084
0.29302028,0.34518644,0.39353713
0.84894353,0.55310136,0.64481777
0.6178767,0.18451175,0.070081815
0.013236858,0.28452167,0.03376151
0.3472335,0.24052902,0.5239275
0.14814086,0.8556711,0.21497092
0.9818294,0.3676359,0.48683584
0.4783703,0.15604194,0.7455648
0.49739137,0.31537044,0.3251204
0.63947254,0.64152515,0.30367434
0.3685846,0.5670927,0.40918142
0.13690028,0.0126546435,0.3137471
0.82211775,0.7062487,0.14817797
0.18984792,0.45115063,0.16408518
0.511319,0.9541097,0.3248521
0.22431703,0.9284428,0.31864017
0.09784448,0.5071586,0.23180486
0.8621915,0.2680729,0.58065605
0.97291946,0.5697272,0.43070623
0.9608347,0.5449076,0.77981466
0.9065555,0.30492488,0.64503837
0.7740473,0.8754444,0.22733836
0.33314514,0.7884251,0.35421714
0.08110139,0.13498022,0.9897002
0.40724117,0.967876,0.596552
0.23223414,0.24574946,0.40549582
0.13248764,0.8648097,0.15256384
0.053427182,0.042281006,0.30113718
0.72559434,0.8018784,0.6261498
0.011427458,0.0018497173,0.30463877
0.77058077,0.33246538,0.21292876
0.14694664,0.9418617,0.050418
0.07952208,0.8096936,0.50868136
0.08960304,0.22442058,0.90758884
0.6720478,0.7729288,0.44652432
0.24536721,0.63105094,0.47850996
0.42053947,0.23495029,0.24205412
0.5573688,0.10219042,0.15840372
0.8605512,0.6025477,0.34581184
0.7270443,0.18757632,0.145703
0.2703279,0.35566157,0.22681771
0.1314828,0.3063541,0.63589334
0.05537432,0.6300741,0.05358178
0.30159864,0.19276099,0.6331167
0.26211816,0.958387,0.81807953
0.45614058,0.92614675,0.21062472
0.68328136,0.68457097,0.5079906
0.6956254,0.88613844,0.8395276
0.28351885,0.7637562,0.5546614
0.37992695,0.3929102,0.50243336
0.18115096,0.11176794,0.790485
0.7885455,0.62627065,0.1140318
0.056848075,0.0056358515,0.64186335
0.6969972,0.86121595,0.4353979
0.7786954,0.83217055,0.69550633
0.7774076,0.59714603,0.078967474
0.25942257,0.29690427,0.9767573
0.37381315,0.9923578,0.9053244
0.58759964,0.4608324,0.66984546
0.2728219,0.51786095,0.6452347
0.3708528,0.69242316,0.8453997
0.19705428,0.5057993,0.13316983
0.45985588,0.42837936,0.6279409
0.0446123,0.51478314,0.6085638
0.79979587,0.2855258,0.8756724
0.07695644,0.79619026,0.45257255
0.5188351,0.795575,0.9358619
0.3068101,0.6167792,0.24595757
0.57754296,0.7182526,0.761749
0.9594333,0.85559106,0.18686101
0.6455702,0.9484296,0.26737976
0.035362437,0.6235809,0.41851324
0.43040243,0.5402375,0.8528748
0.51001686,0.33154792,0.9471306
0.5361775,0.96637917,0.09087859
0.6813925,0.87217236,0.74441653
0.2775961,0.930321,0.27041313
0.12886056,0.15346582,0.41209698
0.39267567,0.7900519,0.5538065
0.9564057,0.43600616,0.08157188
0.1871309,0.53122234,0.38965547
0.90398395,0.02470128,0.049850754
0.54380596,0.8267543,0.013064714
0.4569114,0.69115984,0.2623413
0.8820414,0.8789056,0.84251493
0.45860395,0.979943,0.439229
0.72416764,0.5512018,0.24068925
0.39902532,0.9367434,0.043834165
0.9040444,0.75573844,0.00607253
0.69002503,0.8414508,0.41351163
0.69962204,0.067356035,0.5140136
0.3277204,0.18765125,0.17503153
0.75677866,0.34790862,0.309984
0.6360611,0.91279197,0.42611453
0.24002028,0.49355143,0.7502951
0.16053882,0.90205866,0.71730655
0.7963915,0.57707214,0.8133614
0.9591666,0.18752259,0.4189381
0.45813882,0.15391277,0.3108397
0.59098417,0.8000485,0.9131392
0.85772264,0.13828717,0.12400284
0.45722345,0.49363434,0.56663156
0.9518745,0.24987783,0.050628904
0.5757512,0.54555905,0.52751964
0.8207671,0.61422414,0.36432305
0.9088437,0.2510717,0.72058713
0.8155238,0.0075919586,0.3207447
0.15941447,0.15307589,0.8235235
0.62889844,0.6013778,0.8795694
0.39843425,0.50265163,0.9523634
0.06271295,0.6333564,0.8635494
0.42403224,0.33853713,0.15126297
0.25868407,0.26388976,0.7728855
0.8490383,0.10876595,0.072733104
0.033304628,0.9703145,0.3164916
0.9589827,0.80759346,0.08596554
0.35536885,0.98051333,0.53922284
0.3567069,0.68993926,0.8803754
0.016328502,0.52433074,0.53378147
0.18523233,0.7062245,0.15652816
0.4012595,0.3096149,0.14777116
0.9292914,0.60406506,0.5004412
0.09961493,0.71293503,0.45258504
0.94530153,0.76999116,0.5182723
0.86948854,0.15733011,0.089120984
0.4541624,0.53789467,0.8695906
0.3267009,0.34621304,0.8344367
0.23274413,0.18818396,0.8346079
0.6144647,0.66064173,0.72296774
0.03307459,0.3304032,0.23093735
0.015606064,0.014817075,0.3521338
0.42879573,0.47905418,0.6666701
0.06807408,0.12313114,0.17815298
0.251941,0.51404434,0.7821065
0.22116092,0.7344418,0.5289408
0.2531912,0.6473344,0.17300037
0.13105524,0.26748335,0.040502187
0.012036223,0.7607637,0.22106194
0.1154843,0.3253119,0.87604237
0.61848027,0.7807784,0.46993914
0.9742562,0.01509937,0.65482074
0.990345,0.2869937,0.85396576
0.4090541,0.67865294,0.4376779
0.16295442,0.547966,0.06873088
0.63876176,0.4427398,0.5130065
0.49030533,0.99965733,0.6562158
0.9894098,0.3725257,0.7866524
0.065304205,0.3072803,0.9495797
0.7832344,0.19394642,0.4144501
0.2883985,0.4500823,0.6192897
0.24141861,0.8420372,0.6669917
0.66250455,0.96296084,0.018000998
0.24606319,0.9421578,0.78599274
0.6658591,0.38643944,0.5235532
0.51730853,0.22065863,0.89926535
0.42408898,0.69136095,0.94794214
0.5546878,0.9291811,0.0997273
0.28705153,0.06199293,0.6216543
0.7065747,0.2999521,0.69787186
0.41485688,0.2868755,0.35557857
0.36054555,0.9942462,0.6277432
0.8286569,0.27926865,0.8986892
0.92496693,0.8762605,0.8626949
0.04600731,0.003119457,0.6974236
0.23262699,0.514627,0.11173593
0.34851936,0.21900104,0.40517896
0.8149665,0.9144815,0.2737455
0.98549145,0.9085533,0.4467803
0.9689717,0.45714998,0.7743215
0.90494835,0.2884762,0.6987559
0.29655626,0.59837854,0.24753116
0.99201125,0.080547206,0.7305406
0.24942005,0.9982563,0.36867478
0.10590615,0.769081,0.16606437
0.9509526,0.94584197,0.40158433
0.23342025,0.03266069,0.5302009
0.68976825,0.38550138,0.8653084
0.05835636,0.8239409,0.33702993
0.7307091,0.6505494,0.82972234
0.8817202,0.8437725,0.9445219
0.2724369,0.6314516,0.0119965235
0.3790569,0.16172752,0.6829895
0.3742962,0.23912154,0.6973255
0.74878824,0.5259909,0.2658584
0.23780724,0.2802475,0.19209112
0.1718531,0.7111659,0.9842898
0.44929165,0.0024276078,0.78672415
0.3044684,0.93448013,0.010844656
0.8391891,0.7261142,0.7793599
0.23774183,0.44461274,0.45615262
0.50238943,0.66820157,0.37653726
0.9425836,0.76070493,0.83523124
0.6339977,0.20119534,0.88109505
0.8672894,0.9486822,0.25568482
0.9402097,0.27669078,0.6969216
0.75076485,0.19276337,0.5918553
0.69957507,0.7488982,0.5100673
0.96796554,0.49517173,0.5770175
0.9944008,0.93829757,0.9574911
0.45182168,0.75259304,0.30223107
0.07086978,0.05414286,0.724129
0.29279402,0.84241915,0.38224873
0.1523547,0.1362164,0.3921518
0.41748637,0.54561704,0.3347762
0.13128933,0.42376956,0.08467967
0.6041178,0.98772717,0.537357
0.38280806,0.8223365,0.027197182
0.89538586,0.7501178,0.5400746
0.96779466,0.12959813,0.3245626
0.5468849,0.5021955,0.13662022
0.27482358,0.9010991,0.20336182
0.59223044,0.011518948,0.1452602
0.8967612,0.22969054,0.862235
0.40673333,0.94185627,0.92770797
0.55207825,0.85789776,0.2049737
0.27165276,0.32295066,0.89805365
0.45544416,0.3077634,0.7353938
0.40171355,0.6364196,0.21284139
0.24841346,0.4226126,0.31985515
0.5058664,0.9636426,0.4607497
0.31038082,0.94967747,0.7486757
0.37303486,0.8248786,0.05238479
0.5249705,0.5402768,0.83778965
0.75059503,0.5022887,0.7732654
0.33350748,0.49049032,0.015664542
0.92415875,0.48249418,0.15915476
0.8623186,0.71338814,0.72403204
0.048690297,0.45739657,0.011592138
0.25364253,0.3437843,0.043771535
0.44613552,0.31858945,0.20103332
0.10462789,0.39553386,0.40864432
0.348476,0.8221875,0.19647005
0.7400975,0.8967409,0.8240744
0.68051445,0.93890923,0.796885
0.6223844,0.64812344,0.3883555
0.7105284,0.3714859,0.77174795
0.20492369,0.3327966,0.050796352
0.3416981,0.08514194,0.52772605
0.6762425,0.82001185,0.9869966
0.8792348,0.87193227,0.35297292
0.54367805,0.65277123,0.57193995
0.28269964,0.5267254,0.923594
0.030235259,0.9361595,0.7996288
0.7103368,0.75255066,0.08420026
0.007884104,0.36570156,0.6953296
0.37267908,0.629181,0.979095
0.5305372,0.30591825,0.6504181
0.92211145,0.059845336,0.59497464
0.08949455,0.92654455,0.30748364
0.40594232,0.886632,0.20883279
0.0243132,0.9944621,0.5599987
0.34261099,0.7208236,0.37341043
0.62223107,0.29426008,0.90414155
0.27906793,0.6788066,0.1616805
0.20974995,0.3295869,0.60588485
0.11570323,0.8827593,0.116622806
0.5771403,0.42685252,0.9866483
0.69527,0.9230369,0.9072334
0.67195714,0.13049762,0.7715695
0.948861,0.96377754,0.4794961
0.0027032138,0.41566172,0.06523489
0.64719665,0.83311236,0.086113445
0.6003922,0.36065945,0.5727556
0.58873963,0.9107026,0.16537191
0.96277034,0.55771935,0.78537
0.016871674,0.24099486,0.07619078
0.6964824,0.8083594,0.9525869
0.8136786,0.95977575,0.81585735
0.50980717,0.8424562,0.050393518
0.33396488,0.6442897,0.25381747
0.79084015,0.683855,0.49519125
0.09724293,0.7582788,0.3141161
0.44203565,0.16952805,0.7605327
0.51995236,0.6221681,0.88911
0.69395643,0.51187235,0.62277985
0.09088573,0.12813927,0.19206984
0.2277595,0.3563459,0.32650512
0.41030157,0.7879681,0.34411424
0.62329465,0.2124338,0.195854
0.8869608,0.97338754,0.87911695
0.61882615,0.24365683,0.93474275
0.13346148,0.14040807,0.58241296
0.98058015,0.74859035,0.3981772
0.87178576,0.30413836,0.20204912
0.5027208,0.40799674,0.6890874
0.92234796,0.11130705,0.50983655
0.5413808,0.36530185,0.1609146
0.92330605,0.8848758,0.17998461
0.82989734,0.252621,0.90887785
0.9682864,0.94595414,0.858799
0.9197828,0.66979754,0.4563454
0.036033817,0.81434304,0.29204226
0.17477201,0.5635609,0.51330805
0.38913468,0.050347034,0.01710895
0.9521427,0.2097586,0.16944142
0.30002892,0.7882931,0.68451804
0.16046764,0.2720281,0.9582747
0.8863047,0.7224477,0.267786
0.4463944,0.97763956,0.14364019
0.9078756,0.6368425,0.4650945
0.16023047,0.09783278,0.57289606
0.6611175,0.13100797,0.60823095
0.44026375,0.99349564,0.9133772
0.07648677,0.57198644,0.38402227
0.69646317,0.119476795,0.72449905
0.24739875,0.1718415,0.1395416
0.039615523,0.6060298,0.4472265
0.059944298,0.5788657,0.77836305
0.061078537,0.20482801,0.59721935
0.90773296,0.053234834,0.057574496
0.7398839,0.4324535,0.16039556
0.89806235,0.11465634,0.44629464
0.6725823,0.87631905,0.37097868
0.5289399,0.28774956,0.38353932
0.30444637,0.62651813,0.9208905
0.99796224,0.28871253,0.868459
0.36218905,0.24113566,0.87084925
0.47064894,0.13556254,0.3670696
0.37824517,0.3233186,0.37252316
0.97952694,0.6923459,0.9193483
0.17465839,0.91653556,0.64356756
0.327988,0.7156456,0.69361824
0.6803487,0.09145901,0.13929246
0.06320762,0.7508268,0.5365159
0.6072494,0.099387065,0.81439036
0.4776465,0.7538623,0.72275645
0.28399998,0.49538818,0.77924967
0.23841327,0.48121804,0.6407204
0.5145127,0.9863054,0.80538565
0.36792758,0.8328981,0.5977063
0.4565199,0.8516261,0.5566875
0.3374774,0.38515192,0.08544374
0.9704937,0.14450371,0.20734456
0.13343944,0.4620482,0.13859107
0.096803956,0.21707487,0.93158084
0.34339172,0.8050373,0.17076705
0.5910269,0.11633734,0.9653755
0.65917647,0.63306695,0.3414338
0.39725676,0.3446554,0.4165015
0.999278,0.3973689,0.49187255
0.351893,0.78067005,0.09781042
0.72140664,0.8747191,0.15391646
0.6375827,0.5825598,0.83880055
0.81305385,0.5991824,0.14843397
0.9762257,0.44562575,0.3187325
0.88979363,0.3911971,0.15459852
0.76456195,0.67893064,0.89866996
0.6982485,0.20786512,0.7495892
0.33549818,0.08198326,0.010418286
0.14768557,0.6363615,0.018454518
0.062636,0.61928415,0.7424807
0.24190171,0.7057863,0.7275813
0.4322815,0.8240818,0.91533697
0.52199626,0.6429337,0.14762837
0.77308357,0.04863455,0.3977575
0.95874095,0.291442,0.6514236
0.11732048,0.1920574,0.086918004
0.10700414,0.19181383,0.078151904
0.58969474,0.54453826,0.7873108
0.74539804,0.6149144,0.12909001
0.8481504,0.8210867,0.08262744
0.9358321,0.11808807,0.932421
0.9834262,0.52961355,0.87375575
0.3998017,0.19314703,0.08941288
0.38033518,0.38736403,0.38884005
0.14780867,0.7203833,0.0053071654
0.68493444,0.5034382,0.19422142
0.65676194,0.9997706,0.95943546
0.8620626,0.81724775,0.79081786
0.097257994,0.27932057,0.6902793
0.4977769,0.58585954,0.4117058
0.5810819,0.5507617,0.30036736
0.24155705,0.88196045,0.16151316
0.1690254,0.25828448,0.078050256
0.8595808,0.05159713,0.04637833
0.058534924,0.8895959,0.23696236
0.4706209,0.4033415,0.12950647
0.115834,0.88624495,0.7710118
0.45705876,0.3062189,0.06117705
0.97996235,0.56268877,0.5537841
0.42370635,0.46248245,0.9169402
0.8571249,0.5319987,0.29418778
0.11731556,0.813085,0.3056366
0.27125207,0.35877922,0.96332014
0.40379274,0.24343088,0.039232347
0.39981213,0.13883989,0.16834141
0.6713835,0.3376441,0.7191701
0.34471813,0.65285593,0.48847362
0.7137669,0.6065822,0.123047255
0.6391869,0.5187446,0.66990376
0.39916116,0.7172167,0.6925102
0.43176013,0.36517912,0.9254774
0.6145277,0.4745357,0.0012093207
0.07004219,0.026824297,0.25328943
0.8224067,0.29698107,0.7400813
0.65342116,0.1082844,0.8678698
0.72634244,0.8118039,0.06493902
0.536923,0.9589678,0.16485909
0.11047711,0.59831107,0.6712462
0.40503561,0.5250561,0.8984923
0.40537357,0.8171213,0.8979766
0.32104298,0.85949314,0.0985804
0.029950324,0.39387268,0.78901345
0.73725426,0.34414023,0.67448634
0.10978446,0.8013807,0.15402222
0.60630816,0.052824244,0.6581039
0.7032175,0.64612424,0.7232929
0.6347863,0.60633683,0.7422827
0.95914227,0.0248572,0.65362436
0.10329816,0.9777955,0.47638705
0.8671672,0.88473934,0.97719127
0.029190235,0.45905545,0.6642164
0.5349169,0.057509925,0.96591103
0.40424362,0.78541934,0.8416208
0.52418387,0.5044662,0.41237003
0.36509988,0.39501822,0.7152751
0.19056691,0.006288769,0.22889684
0.019122897,0.52834994,0.5912165
0.5181498,0.19197394,0.58816
0.84277683,0.5810629,0.92941684
0.37321594,0.4477564,0.17062281
0.22286382,0.89629793,0.025065094
0.08053201,0.14815041,0.26531592
0.08531092,0.2762425,0.94478005
0.22139645,0.68199784,0.8800036
0.10001406,0.84111154,0.18421133
0.2650397,0.5726845,0.01876356
0.066149466,0.29958612,0.109135285
0.065604866,0.042495336,0.54712623
0.85627615,0.7245282,0.978561
0.16212027,0.58954895,0.39622375
0.5596824,0.77574956,0.45019147
0.77345556,0.094757795,0.20724156
0.45640957,0.63405895,0.59803927
0.15336888,0.12861408,0.61326045
0.19959614,0.39246306,0.2081026
0.4329842,0.9704522,0.0128940465
0.52823406,0.49094778,0.49188992
0.3494403,0.5738155,0.7380378
0.7814796,0.44254756,0.9715568
0.7510216,0.019199552,0.758045
0.9272118,0.79244596,0.16615626
0.028952548,0.7422639,0.8163218
0.8956913,0.9401553,0.57303846
0.3925688,0.09973691,0.23743904
0.8783725,0.24654815,0.22989033
0.69078475,0.6049625,0.59501815
0.98734874,0.19619326,0.7732155
0.75928247,0.5275736,0.83759207
0.36454463,0.0063460297,0.99783385
0.50106317,0.7193554,0.15283753
0.37638915,0.51660234,0.42985612
0.36491182,0.21109611,0.038126945
0.2609045,0.24294102,0.33973825
0.4959703,0.497052,0.0995379
0.6817399,0.40548703,0.7943487
0.27734026,0.8008642,0.4477449
0.5243798,0.15035702,0.21521126
0.11738029,0.022923576,0.73486596
0.1598453,0.58537817,0.40999183
0.046806354,0.53808975,0.17455798
0.97073144,0.3510582,0.54949236
0.0038603514,0.59555733,0.16690576
0.17857997,0.08287307,0.96131754
0.61286676,0.06840618,0.9457671
0.0813696,0.7067159,0.29036298
0.8818965,0.59294224,0.689664
0.71962017,0.11633317,0.55556136
0.96638995,0.91234094,0.7216875
0.50763553,0.021917425,0.617782
0.30040368,0.89938617,0.75465596
0.5495006,0.7327959,0.22326155
0.93081874,0.40607607,0.011487405
0.52076143,0.32121602,0.49488622
0.26720703,0.46651685,0.64128864
0.8773988,0.89846355,0.25530893
0.37191874,0.39252177,0.5989881
0.00138335,0.3331527,0.9937935
0.24768502,0.5575649,0.17966911
0.31823352,0.9417347,0.11192156
0.85877746,0.5330838,0.8718842
0.45850316,0.60876834,0.3503711
0.4445873,0.38745144,0.11721485
0.33610228,0.22384748,0.9772194
0.8806781,0.32176435,0.40645933
0.94502676,0.48455408,0.98204625
0.9918903,0.4579353,0.134268
0.37674126,0.46503896,0.03745739
0.9661474,0.23350987,0.77468723
0.7918796,0.18985416,0.115184896
0.67568916,0.19610223,0.28347212
0.24488948,0.42328084,0.18809563
0.21645726,0.001866153,0.16153246
0.16604783,0.80209434,0.41533616
0.9227566,0.04633104,0.13906953
0.29407665,0.13297555,0.46067336
0.45309424,0.41265252,0.6714909
0.49395785,0.24818547,0.108288355
0.7781716,0.73818934,0.31609723
0.84423494,0.22719927,0.78432274
0.1390727,0.5402298,0.5846456
